X,Y,Anio,Comuna,Calle1,Calle2,Numero,Interseccion,Fallecidos,Graves,MenosGraves,Leves
-70.71476118318202,-33.62195745247443,2013,SAN BERNARDO,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ,,12489,0,1,0,0,0
-70.71343273073592,-33.62920594140104,2013,SAN BERNARDO,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ,,20040,0,0,0,0,1
-70.71211271033326,-33.60133908443118,2013,SAN BERNARDO,CALLE 1 DE MAYO,EYZAGUIRRE,0,1,0,0,0,1
-70.71057055468731,-33.601829359737096,2013,SAN BERNARDO,CALLE 1 DE MAYO,FIDEL PINOCHET,0,1,1,0,0,0
-70.70725930037639,-33.63654740044212,2013,SANTIAGO,PORTALES,,3000,0,0,1,0,0
-70.70605206305225,-33.60758114025737,2013,SAN BERNARDO,EUCALIPTUS,BULNES,0,1,0,0,0,1
-70.70365911547577,-33.6136480666049,2013,SAN BERNARDO,MATEO DE TORO Y ZAMBRANO,LAS AGATAS,0,1,0,0,0,1
-70.69915762192664,-33.6185610845264,2013,SAN BERNARDO,DIEGO PORTALES,CENTRAL,0,1,0,0,0,1
-70.69710660828332,-33.60039154073696,2013,SAN BERNARDO,BAQUEDANO,,820,0,0,0,0,1
-70.69467082329982,-33.61919135010068,2013,SAN BERNARDO,CENTRAL,LOS ALERCES,0,1,0,0,0,1
-70.68591048947746,-33.603030886366234,2013,SAN BERNARDO,DUCAUD,,15575,0,0,0,1,0
-70.68257274653496,-33.60487282022444,2013,SAN BERNARDO,SAN JOSE,PADRE HURTADO,0,1,0,0,0,1
-70.68221180003451,-33.61694290019467,2013,SAN BERNARDO,PADRE HURTADO,,13560,0,0,1,0,0
-70.7143327893267,-33.59731444200785,2013,SAN BERNARDO,SAN ALFONSO,,1000,0,0,0,0,1
-70.71201978338627,-33.597796328437774,2013,SAN BERNARDO,AMERICA,SAN ALFONSO,0,1,0,0,1,0
-70.71141714228725,-33.5880920257264,2013,SAN BERNARDO,COLON,,160,0,0,0,0,1
-70.71131863414763,-33.59792647652563,2013,SAN BERNARDO,SAN ALFONSO,MAHUIDA,0,1,0,1,0,0
-70.70801178831334,-33.59592189218154,2013,SAN BERNARDO,SAN JOSE,URMENETA,0,1,0,0,0,2
-70.70657499454035,-33.59616717147775,2013,SAN BERNARDO,EYZAGUIRRE,SAN JOSE,0,1,0,0,0,1
-70.70627883430075,-33.59615199631752,2013,SAN BERNARDO,SAN JOSE,,583,0,0,0,0,1
-70.7052123138971,-33.59663168030778,2013,SAN BERNARDO,FREIRE,,729,0,0,0,2,0
-70.7051822396686,-33.596357719832845,2013,SAN BERNARDO,FREIRE,SAN JOSE,0,1,0,0,0,3
-70.70459389509216,-33.594661435676684,2013,SAN BERNARDO,FREIRE,COVADONGA,0,1,0,0,1,0
-70.70400155392855,-33.59298323958478,2013,SAN BERNARDO,FREIRE,ARTURO PRAT,0,1,0,0,0,1
-70.70364361476095,-33.591887978647264,2013,SAN BERNARDO,FREIRE,LIBERTADOR BERNARDO OHIGGINS,0,1,0,1,1,1
-70.70758765364724,-33.59095886296109,2013,SAN BERNARDO,LIBERTADOR BERNARDO OHIGGINS,MAIPU,0,1,0,0,0,1
-70.70708210335636,-33.586799538068185,2013,SAN BERNARDO,FLORIDA,AMERICA,0,1,0,1,0,0
-70.70491418863884,-33.59159474390224,2013,SAN BERNARDO,EYZAGUIRRE,LIBERTADOR BERNARDO OHIGGINS,0,1,0,1,0,0
-70.70300453762928,-33.59022845517904,2013,SAN BERNARDO,FREIRE,COLON SUR,0,1,0,1,0,0
-70.70278840625991,-33.58991310520558,2013,SAN BERNARDO,FREIRE,,220,0,0,1,0,0
-70.70224411677253,-33.58941829192061,2013,SAN BERNARDO,EYZAGUIRRE,FREIRE,0,1,0,0,0,1
